id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1641601,Private Nook in Leafy Andersonville,8626951,CC & Tun,,Uptown,41.97136,-87.67069,Private room,70,4,275,2020-03-14,2.74,3,289,0,R20000053603
1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,,Chatham,41.72706,-87.61164,Private room,45,2,100,2021-12-04,1.00,1,364,16,R17000013914
1656336,Park Views-Walk to Orange Line(MDW),8781008,Jenn,,Mckinley Park,41.82722,-87.67601,Entire home/apt,90,3,292,2021-10-26,2.98,2,20,16,R17000015557
1656439,Luxurious & Cozy Urban Oasis,517499,Derek,,Uptown,41.95775,-87.64671,Entire home/apt,245,5,24,2021-11-30,0.26,2,46,1,R21000073886
1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,,West Town,41.89322,-87.68572,Entire home/apt,99,28,350,2021-12-07,3.63,3,318,25,R17000015117
1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,41.89678,-87.6971,Entire home/apt,86,30,116,2021-05-20,1.59,1,0,4,R18000026178
1672647,Victorian greystone near Loyola U!,2707385,Caitlin & Lisa,,Edgewater,41.99734,-87.67227,Entire home/apt,95,3,248,2021-08-16,2.48,1,194,15,R20000053656
1678422,Room in Penthouse in Lakeview,8852597,Hector,,Lake View,41.93512,-87.65749,Private room,65,2,28,2019-10-01,0.28,7,86,0,City registration pending
1721045,*Recent Price Drop! Superb location!,2885441,Tracy,,West Town,41.89103,-87.66243,Private room,71,1,95,2020-08-03,0.95,5,348,0,R20000053637
1732652,LUX Condo Downtown BEST LOCATION ON MAG MILE AVE,3965428,Rob,,Near North Side,41.89269,-87.62227,Entire home/apt,153,60,7,2014-09-08,0.07,88,365,0,
